k	p	c	o	f	g	s	otu
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Polaromonas	s__unknown	o__OTU1281
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU1284
k__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__Leptospira	s__Leptospira idonii	o__OTU1286
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__unknown	o__OTU12885
k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus	s__Bacillus anthracis	o__OTU12886
k__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Conexibacter	s__	o__OTU129
k__Bacteria	p__Patescibacteria	c__Saccharimonadia	o__Saccharimonadales	f__unknown	g__unknown	s__unknown	o__OTU1290
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__unknown	s__unknown	o__OTU1292
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Rhodoferax	s__unknown	o__OTU1294
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__unknown	s__unknown	o__OTU1297
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__KD3-93	g__unknown	s__unknown	o__OTU1299
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__unknown	s__unknown	o__OTU13
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__unknown	g__unknown	s__unknown	o__OTU130
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__unknown	o__OTU1301
k__Bacteria	p__unknown	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1304
k__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Microtrichales	f__unknown	g__unknown	s__unknown	o__OTU1307
k__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Nitrospira	s__unknown	o__OTU1308
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Undibacterium	s__unknown	o__OTU131
k__Bacteria	p__Planctomycetota	c__OM190	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1311
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Sphingobacteriales	f__env.OPS 17	g__	s__unknown	o__OTU1313
k__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Pirellula	s__unknown	o__OTU132
k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Paracaedibacterales	f__Paracaedibacteraceae	g__Candidatus Paracaedibacter	s__unknown	o__OTU1321
k__Bacteria	p__Patescibacteria	c__Parcubacteria	o__Candidatus Zambryskibacteria	f__unknown	g__unknown	s__unknown	o__OTU13220
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__unknown	s__unknown	o__OTU1323
k__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__unknown	o__OTU13285
k__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__Ferruginibacter	s__Ferruginibacter sp.	o__OTU133
k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__CCM19a	f__unknown	g__unknown	s__unknown	o__OTU1330
k__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Tepidisphaerales	f__WD2101 soil group	g__unknown	s__unknown	o__OTU1332
k__Bacteria	p__Proteobacteria	c__unknown	o__unknown	f__unknown	g__unknown	s__unknown	o__OTU1333
