	SMPL0	SMPL1	SMPL2	SMPL3	SMPL4	SMPL5	SMPL6	SMPL7	SMPL8	SMPL9	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19
OTU219	0	0	0	0	644	0	37797	113	1	38	0	0	0	0	22	0	0	0	0	0
OTU220	0	2635	385	16370	3646	460	1806	1365	373	223	27	16	81	934	377	762	3397	1410	1651	2598
OTU221	0	94	35979	5	192	89	163	401	183	27	3	4	3	16	20	52	438	108	57	167
OTU222	0	7176	678	30	191	147	2262	8637	3991	4464	36	35	184	520	620	427	845	5550	716	1414
OTU223	0	11342	4571	78	354	608	1758	1429	590	546	50	25	286	697	399	333	1534	8539	2980	1694
OTU224	0	2091	208	40	2145	747	1192	5006	3933	2239	318	377	897	1294	1146	2937	2724	7206	2238	987
OTU225	0	3500	306	1	2320	705	361	20961	2318	1576	691	610	45	961	1362	283	1017	160	122	188
OTU226	1	1546	693	7332	979	2935	1919	1152	784	307	13	4	180	108	142	57	1954	12325	2917	1655
OTU227	0	1195	251	46	1299	2453	5778	11464	5097	392	43	133	47	277	583	522	1470	3285	1716	825
OTU228	0	3177	282	25	7000	6575	76	531	4519	2027	774	135	276	460	1772	402	3272	4692	494	182
OTU229	0	2360	769	63	1682	2200	2142	10623	8192	1679	262	232	37	759	2310	883	760	318	888	232
OTU230	495	3220	767	759	2413	1779	1807	1245	1619	634	163	62	329	765	1242	1239	1921	10616	2226	2834
OTU231	1	1076	2	120	2191	5760	1818	7440	1990	2176	156	76	222	1010	881	536	995	3089	4403	1506
OTU232	0	114	3	8	300	986	6127	15267	5693	4902	1032	854	5	0	0	7	0	0	0	0
OTU233	0	2	23	34569	21	5	129	238	107	28	2	7	0	0	0	0	11	42	0	5
OTU234	0	218	0	180	142	128	430	888	741	252	9	3	361	210	331	116	1851	22392	3776	3071
OTU235	0	987	170	26	1176	2085	4748	9219	4425	1224	552	228	939	529	554	869	1532	3015	1672	873
